Date,LT,upper,lower
2018-04-23,1360.0,1395.440962516541,1302.0090374834592
2018-04-24,1378.0,1392.6284852158979,1316.5143719269595
2018-04-25,1362.9,1392.2174747574288,1321.7968109568571
2018-04-26,1347.2,1386.4927643155502,1331.9000928273076
2018-04-27,1377.75,1385.0061482677033,1340.5081374465826
2018-04-30,1400.9,1395.2902166032998,1337.5097833967004
2018-05-02,1403.15,1403.7200921615827,1336.2799078384178
2018-05-03,1377.75,1404.5861759086229,1338.3138240913777
2018-05-04,1368.7,1404.2406930022591,1340.6378784263131
2018-05-07,1389.15,1406.832365807793,1341.0533484779226
2018-05-08,1364.9,1406.6129532190885,1342.037046780913
2018-05-09,1375.65,1406.6683261514738,1344.2031024199566
2018-05-10,1362.2,1405.2683486911315,1342.3459370231562
2018-05-11,1387.4,1407.2168358195445,1343.5903070376007
2018-05-14,1381.75,1407.634066209637,1346.2802195046509
2018-05-15,1374.2,1407.3901221018868,1345.981306469544
2018-05-16,1362.35,1407.4281280368446,1345.8647291060147
2018-05-17,1355.95,1405.7465111818708,1348.7963459609884
2018-05-18,1315.55,1416.3934075358732,1329.2637353212715
2018-05-21,1313.25,1417.3494650663733,1315.7862492193426
2018-05-22,1320.15,1412.394035456508,1308.8845359720654
2018-05-23,1326.9,1410.6904572272442,1303.3238284870436
2018-05-24,1338.05,1408.9451090184625,1300.6906052672534
2018-05-25,1342.0,1402.1331029345845,1300.766897065417
2018-05-28,1376.45,1404.2604824409293,1300.2895175590722
2018-05-29,1380.6,1405.3608665147487,1299.896276342395
2018-05-30,1365.65,1405.8317421435863,1299.9182578564146
2018-05-31,1370.4,1401.9180854032836,1301.4033431681462
2018-06-01,1372.4,1399.7540311229084,1302.231683162807
2018-06-04,1357.85,1396.9475040147072,1302.7024959852938
2018-06-05,1333.75,1395.0451647850616,1300.5191209292254
2018-06-06,1350.55,1394.4600265293823,1300.3328306134756
2018-06-07,1355.15,1393.6640952944547,1306.7859047055465
2018-06-08,1343.95,1390.5976263959649,1314.238087889751
2018-06-11,1343.25,1388.0009498433549,1320.1347644423606
2018-06-12,1366.4,1387.49733338836,1326.2812380402124
2018-06-13,1358.75,1386.9911829492798,1329.7445313364356
2018-06-14,1343.0,1386.8911392045914,1329.9874322239814
2018-06-15,1329.9,1385.3249671817084,1324.9036042468642
2018-06-18,1323.2,1381.8981233736858,1320.1304480548874
2018-06-19,1310.4,1383.5145011192722,1310.6212131664438
2018-06-20,1306.75,1382.169587211107,1302.8732699317518
2018-06-21,1289.8,1381.3716879481767,1291.8711691946814
2018-06-22,1299.85,1379.4469849437448,1285.510157913399
2018-06-25,1268.15,1385.9670499030246,1269.6186643826911
2018-06-26,1270.05,1386.1395252087027,1257.946189077013
2018-06-27,1232.75,1390.079905223659,1236.5200947763424
2018-06-28,1234.95,1390.5661380304912,1220.4624333980812
2018-06-29,1275.1,1384.1821552837914,1217.1107018590665
2018-07-02,1255.95,1370.18119852206,1215.3330871922265
2018-07-03,1251.5,1355.2776386831592,1214.9152184596987
2018-07-04,1259.5,1341.9184545346532,1216.3458311796333
2018-07-05,1254.45,1330.412220147007,1217.073494138708
2018-07-06,1266.3,1318.7161820223453,1220.6409608347983
2018-07-09,1288.0,1312.651186586057,1223.5059562710862
2018-07-10,1284.6,1306.493610477643,1226.4992466652143
2018-07-11,1274.75,1303.4827296180542,1227.360127524803
2018-07-12,1299.75,1303.4477816512365,1227.3807897773352
2018-07-13,1298.4,1309.514475621232,1225.6355243787687
2018-07-16,1283.1,1311.2558694624222,1225.7584162518638
2018-07-17,1286.85,1310.7543317022055,1233.9885254406518
2018-07-18,1292.15,1309.4847736471922,1243.4295120670938
2018-07-19,1258.1,1309.7043374705074,1240.781376815207
2018-07-20,1270.35,1309.071961266102,1243.4708958767549
2018-07-23,1279.15,1307.789863721035,1248.7029934218222
2018-07-24,1324.0,1319.14914149701,1246.558001360133
2018-07-25,1320.7,1325.1808536722647,1249.9905748991641
2018-07-26,1305.95,1327.067562927019,1253.7681513586954
2018-07-27,1311.45,1330.3737191447,1253.8119951410147
2018-07-30,1295.35,1330.9247934270634,1254.7966351443656
2018-07-31,1302.3,1331.6889256629722,1257.968217194171
2018-08-01,1298.0,1331.5038528715918,1257.9032899855515
2018-08-02,1282.4,1330.856933491322,1256.264495080107
2018-08-03,1290.0,1330.9343661865184,1257.1727766706251
2018-08-06,1290.45,1331.0249785136953,1257.5964500577343
2018-08-07,1295.3,1331.231541518024,1257.839887053405
2018-08-08,1298.25,1327.51867023007,1267.2884726270734
2018-08-09,1284.7,1325.3887333284974,1271.4684095286466
2018-08-10,1264.65,1328.3597093249211,1266.426004960794
2018-08-13,1269.05,1323.831160073121,1263.1045542125942
2018-08-14,1253.25,1321.6870188634557,1255.612981136545
2018-08-16,1231.65,1326.6755035166696,1240.0102107690457
2018-08-17,1240.15,1324.0424246338378,1232.4575753661632
2018-08-20,1323.7,1331.5088792657264,1229.0411207342752
2018-08-21,1322.55,1336.6444336195514,1226.798423523307
2018-08-23,1352.05,1351.8593881360314,1219.3048975782556
2018-08-24,1342.9,1362.8418009770746,1216.9653418800697
2018-08-27,1356.1,1375.694436050452,1213.555563949549
2018-08-28,1355.6,1386.5573706366763,1211.999772220467
2018-08-29,1351.55,1394.8599959338455,1211.7328612090125
2018-08-30,1346.55,1401.0885267223414,1212.4043304205163
2018-08-31,1369.55,1411.8337815198545,1213.7805041944318
2018-09-03,1363.0,1418.0934867483031,1221.570798965983
2018-09-04,1359.3,1421.9973800801138,1230.5597627770292
2018-09-05,1348.0,1419.4696934616536,1246.6231636812036
2018-09-06,1347.1,1405.1156991732428,1277.4700151124712
2018-09-07,1347.5,1375.1194656841624,1322.801962887266
2018-09-10,1336.8,1372.9110214098218,1326.8818357330347
2018-09-11,1329.65,1371.0091891945358,1329.7979536626067
2018-09-12,1352.25,1371.028668612838,1329.807045672876
2018-09-14,1358.85,1372.1411492378713,1330.9731364764136
2018-09-17,1344.75,1371.4533751682397,1330.039481974617
2018-09-18,1327.9,1372.5432357176383,1324.992478568076
2018-09-19,1332.9,1372.5895617837925,1322.2818667876365
2018-09-21,1329.7,1373.1211914469768,1319.3430942673094
2018-09-24,1318.35,1369.7284882303802,1315.4215117696203
2018-09-25,1319.05,1366.579418147588,1312.292010423841
2018-09-26,1332.65,1362.3096949540009,1312.7545907602853
2018-09-27,1309.9,1362.797171960583,1306.8242566108465
2018-09-28,1272.1,1372.1523637783816,1286.754779078762
2018-10-01,1248.1,1381.8704657887947,1262.8366770683488
2018-10-03,1245.45,1387.343494177774,1244.3136486793699
2018-10-04,1257.9,1388.001630557214,1233.4055122999298
2018-10-05,1227.4,1386.8534739615388,1216.717954609891
2018-10-08,1215.35,1381.4290307872668,1201.642397784163
2018-10-09,1221.05,1374.3617947423268,1191.0382052576742
2018-10-10,1250.65,1366.3906851106108,1187.973600603676
2018-10-11,1225.85,1356.494576607293,1182.5768519641358
2018-10-12,1235.25,1344.1140116219426,1181.464559806629
2018-10-15,1216.4,1333.5941146567625,1177.420171057524
2018-10-16,1224.65,1319.1370561101298,1178.3915153184425
2018-10-17,1211.9,1293.850066448066,1186.4285049805064
2018-10-19,1206.05,1271.5541410756907,1193.8887160671673
2018-10-22,1206.6,1261.902950675879,1194.1827636098362
2018-10-23,1200.7,1259.3469963313933,1189.9672893828938
2018-10-24,1218.9,1255.3960226441063,1190.1254059273233
2018-10-25,1201.55,1246.1906964192901,1191.2807321521393
2018-10-26,1197.45,1245.757584618076,1187.435272524782
2018-10-29,1261.3,1257.540033352993,1182.2171095041506
2018-10-30,1271.25,1270.0967344460892,1176.8318369824833
2018-10-31,1297.5,1286.6896842497601,1166.9317443216694
2018-11-01,1326.75,1314.234070803595,1153.8016434821202
2018-11-02,1358.2,1346.948569915213,1138.6514300847882
2018-11-05,1350.15,1369.7638020422057,1134.9433408149382
2018-11-06,1363.85,1392.4817371144406,1132.1111200284174
2018-11-07,1365.95,1410.962754026475,1135.6372459735258
2018-11-09,1368.6,1425.528106680667,1144.293321890762
2018-11-12,1367.2,1435.6767537592664,1157.08753195502
2018-11-13,1391.1,1446.1795934553502,1173.784692258936
2018-11-14,1384.7,1452.633055209506,1191.0169447904946
